http://www.deptofnumbers.com/gdp/michigan/
Date	US Per-Capita GDP	Michigan Per-Capita GDP	Michigan Population
2016	$50,577	$43,372	9,928,300
2015	$50,155	$42,631	9,917,715
2014	$49,253	$41,514	9,915,767
2013	$48,538	$40,993	9,898,982
2012	$48,173	$40,463	9,887,238
2011	$47,595	$39,757	9,876,213
2010	$47,287	$38,763	9,877,495
2009	$46,680	$36,676	9,901,591
2008	$48,401	$39,863	9,946,889
2007	$49,126	$41,925	10,001,284
2006	$48,880	$42,206	10,036,081
2005	$48,062	$42,919	10,051,137
2004	$47,010	$42,384	10,055,315
2003	$45,831	$42,581	10,041,152
2002	$45,068	$41,907	10,015,710
2001	$44,689	$40,883	9,991,120
2000	$44,714	$42,225	9,952,450
1999	$43,513	$41,764	9,897,116
1998	$42,045	$39,834	9,847,942
1997	$40,781	$39,408	9,809,051
